Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,0.482000,0.483000,0.447000,0.461000,0.461000,395100
2019-07-10,0.445000,0.463000,0.440000,0.448000,0.448000,284600
2019-07-11,0.450000,0.490000,0.434000,0.440000,0.440000,346200
2019-07-12,0.430000,0.459000,0.412000,0.416000,0.416000,710800
2019-07-15,0.384000,0.451000,0.384000,0.402000,0.402000,750000
2019-07-16,0.392000,0.416000,0.392000,0.415000,0.415000,196100
2019-07-17,0.415000,0.455000,0.401000,0.434000,0.434000,273000
2019-07-18,0.422000,0.447000,0.410000,0.432000,0.432000,356200
2019-07-19,0.444000,0.455000,0.418000,0.429000,0.429000,175100
2019-07-22,0.420000,0.440000,0.404000,0.440000,0.440000,333300
2019-07-23,0.430000,0.450000,0.416000,0.426000,0.426000,329600
2019-07-24,0.424000,0.436000,0.401000,0.408000,0.408000,496000
2019-07-25,0.410000,0.445000,0.410000,0.418000,0.418000,499300
2019-07-26,0.429000,0.430000,0.400000,0.403000,0.403000,441600
2019-07-29,0.387000,0.429000,0.387000,0.410000,0.410000,374400
2019-07-30,0.431000,0.431000,0.400000,0.420000,0.420000,169200
2019-07-31,0.410000,0.459000,0.410000,0.428000,0.428000,1166500
2019-08-01,0.429000,0.445000,0.392000,0.407000,0.407000,1357300
2019-08-02,0.407000,0.435000,0.400000,0.420000,0.420000,614500
2019-08-05,0.382000,0.459000,0.354000,0.410000,0.410000,385400
2019-08-06,0.430000,0.430000,0.406000,0.410000,0.410000,324500
2019-08-07,0.419000,0.419000,0.389000,0.400000,0.400000,339200
2019-08-08,0.399000,0.418000,0.393000,0.416000,0.416000,345700
2019-08-09,0.397000,0.418000,0.391000,0.393000,0.393000,483300
2019-08-12,0.374000,0.396000,0.369000,0.395000,0.395000,773300
2019-08-13,0.378000,0.406000,0.371000,0.391000,0.391000,466900
2019-08-14,0.392000,0.392000,0.367000,0.375000,0.375000,488600
2019-08-15,0.370000,0.378000,0.339000,0.345000,0.345000,1352700
2019-08-16,0.341000,0.347000,0.314000,0.315000,0.315000,1084900
2019-08-19,0.318000,0.332000,0.288000,0.299000,0.299000,1636000
2019-08-20,0.300000,0.348000,0.286000,0.348000,0.348000,1631300
2019-08-21,0.344000,0.349000,0.325000,0.329000,0.329000,321600
2019-08-22,0.333000,0.343000,0.306000,0.310000,0.310000,407300
2019-08-23,0.310000,0.310000,0.283000,0.300000,0.300000,704300
2019-08-26,0.272000,0.319000,0.266000,0.319000,0.319000,2183100
2019-08-27,0.289000,0.312000,0.280000,0.290000,0.290000,920200
2019-08-28,0.297000,0.306000,0.273000,0.299000,0.299000,764400
2019-08-29,0.302000,0.307000,0.288000,0.295000,0.295000,488300
2019-08-30,0.290000,0.306000,0.287000,0.300000,0.300000,594300
2019-09-03,0.300000,0.317000,0.271000,0.312000,0.312000,692100
2019-09-04,0.326000,0.327000,0.304000,0.312000,0.312000,569400
2019-09-05,0.313000,0.331000,0.296000,0.331000,0.331000,697500
2019-09-06,0.316000,0.383000,0.316000,0.372000,0.372000,858000
2019-09-09,0.380000,0.414000,0.380000,0.400000,0.400000,1269700
2019-09-10,0.401000,0.444000,0.393000,0.424000,0.424000,1524800
2019-09-11,0.420000,0.420000,0.397000,0.402000,0.402000,993000
2019-09-12,0.401000,0.415000,0.376000,0.387000,0.387000,594300
2019-09-13,0.384000,0.399000,0.374000,0.388000,0.388000,547400
2019-09-16,0.388000,0.418000,0.375000,0.395000,0.395000,533700
2019-09-17,0.395000,0.401000,0.360000,0.364000,0.364000,648500
2019-09-18,0.391000,0.391000,0.357000,0.360000,0.360000,489400
2019-09-19,0.333000,0.373000,0.333000,0.352000,0.352000,899000
2019-09-20,0.345000,0.372000,0.320000,0.353000,0.353000,743800
2019-09-23,0.356000,0.367000,0.315000,0.325000,0.325000,817400
2019-09-24,0.325000,0.334000,0.281000,0.283000,0.283000,1182800
2019-09-25,0.292000,0.303000,0.273000,0.296000,0.296000,613200
2019-09-26,0.305000,0.314000,0.273000,0.299000,0.299000,874200
2019-09-27,0.306000,0.308000,0.278000,0.279000,0.279000,487100
2019-09-30,0.277000,0.304000,0.275000,0.293000,0.293000,719700
2019-10-01,0.292000,0.300000,0.270000,0.292000,0.292000,688100
